Posizione angolare, Oscillazioni forzate 3.00 V
Tempo ( s )	Posizione angolare ( rad )
37,4296	1,825
37,4696	2,161
37,5096	2,487
37,5496	2,794
37,5896	3,079
37,6296	3,335
37,6696	3,558
37,7096	3,746
37,7496	3,894
37,7896	4,001
37,8296	4,064
37,8696	4,083
37,9096	4,059
37,9496	3,993
37,9896	3,888
38,0296	3,745
38,0696	3,567
38,1096	3,357
38,1496	3,121
38,1896	2,860
38,2296	2,582
38,2696	2,290
38,3096	1,990
38,3496	1,689
38,3896	1,390
38,4296	1,103
38,4696	0,831
38,5096	0,581
38,5496	0,353
38,5896	0,151
38,6296	-0,020
38,6696	-0,160
38,7096	-0,265
38,7496	-0,336
38,7896	-0,371
38,8296	-0,369
38,8696	-0,335
38,9096	-0,267
38,9496	-0,173
38,9896	-0,053
39,0296	0,090
39,0696	0,253
39,1096	0,430
39,1496	0,620
39,1896	0,820
39,2296	1,024
39,2696	1,228
39,3096	1,429
39,3496	1,626
39,3896	1,814
39,4296	1,990
39,4696	2,155
39,5096	2,308
39,5496	2,444
39,5896	2,567
39,6296	2,672
39,6696	2,765
39,7096	2,842
39,7496	2,904
39,7896	2,952
39,8296	2,986
39,8696	3,007
39,9096	3,011
39,9496	3,005
39,9896	2,985
40,0296	2,955
40,0696	2,912
40,1096	2,859
40,1496	2,791
40,1896	2,711
40,2296	2,615
40,2696	2,507
40,3096	2,384
40,3496	2,249
40,3896	2,100
40,4296	1,940
40,4696	1,770
40,5096	1,594
40,5496	1,411
40,5896	1,227
40,6296	1,041
40,6696	0,862
40,7096	0,691
40,7496	0,529
40,7896	0,380
40,8296	0,247
40,8696	0,132
40,9096	0,036
40,9496	-0,035
40,9896	-0,082
41,0296	-0,101
41,0696	-0,093
41,1096	-0,057
41,1496	0,006
41,1896	0,096
41,2296	0,212
41,2696	0,350
41,3096	0,514
41,3496	0,696
41,3896	0,895
41,4296	1,111
41,4696	1,338
41,5096	1,572
41,5496	1,813
41,5896	2,053
41,6296	2,290
41,6696	2,523
41,7096	2,744
41,7496	2,952
41,7896	3,143
41,8296	3,314
41,8696	3,462
41,9096	3,580
41,9496	3,666
41,9896	3,717
42,0296	3,732
42,0696	3,712
42,1096	3,655
42,1496	3,567
42,1896	3,446
42,2296	3,296
42,2696	3,115
42,3096	2,906
42,3496	2,672
42,3896	2,419
42,4296	2,158
42,4696	1,893
42,5096	1,629
42,5496	1,371
42,5896	1,125
42,6296	0,891
42,6696	0,671
42,7096	0,465
42,7496	0,275
42,7896	0,105
42,8296	-0,042
42,8696	-0,162
42,9096	-0,253
42,9496	-0,311
42,9896	-0,338
43,0296	-0,330
43,0696	-0,289
43,1096	-0,217
43,1496	-0,113
43,1896	0,019
43,2296	0,178
43,2696	0,360
43,3096	0,564
43,3496	0,785
43,3896	1,021
43,4296	1,268
43,4696	1,519
43,5096	1,772
43,5496	2,022
43,5896	2,267
43,6296	2,502
43,6696	2,724
43,7096	2,928
43,7496	3,113
43,7896	3,278
43,8296	3,416
43,8696	3,530
43,9096	3,613
43,9496	3,666
43,9896	3,688
44,0296	3,676
44,0696	3,633
44,1096	3,558
44,1496	3,454
44,1896	3,322
44,2296	3,164
44,2696	2,978
44,3096	2,769
44,3496	2,540
44,3896	2,292
44,4296	2,031
44,4696	1,764
44,5096	1,492
44,5496	1,225
44,5896	0,964
44,6296	0,718
44,6696	0,489
44,7096	0,278
44,7496	0,090
44,7896	-0,072
44,8296	-0,204
44,8696	-0,305
44,9096	-0,372
44,9496	-0,404
44,9896	-0,401
45,0296	-0,364
45,0696	-0,294
45,1096	-0,195
45,1496	-0,064
45,1896	0,090
45,2296	0,267
45,2696	0,463
45,3096	0,677
45,3496	0,902
45,3896	1,136
45,4296	1,373
45,4696	1,610
45,5096	1,844
45,5496	2,070
45,5896	2,287
45,6296	2,491
45,6696	2,678
45,7096	2,849
45,7496	3,000
45,7896	3,131
45,8296	3,241
45,8696	3,325
45,9096	3,388
45,9496	3,427
45,9896	3,440
46,0296	3,427
46,0696	3,390
46,1096	3,332
46,1496	3,252
46,1896	3,149
46,2296	3,027
46,2696	2,882
46,3096	2,719
46,3496	2,538
46,3896	2,344
46,4296	2,136
46,4696	1,920
46,5096	1,695
46,5496	1,469
46,5896	1,244
46,6296	1,024
46,6696	0,814
46,7096	0,617
46,7496	0,435
46,7896	0,272
46,8296	0,129
46,8696	0,008
46,9096	-0,086
46,9496	-0,154
46,9896	-0,192
47,0296	-0,201
47,0696	-0,181
47,1096	-0,134
47,1496	-0,060
47,1896	0,039
47,2296	0,160
47,2696	0,303
47,3096	0,465
47,3496	0,644
47,3896	0,834
47,4296	1,037
47,4696	1,244
47,5096	1,456
47,5496	1,668
47,5896	1,879
47,6296	2,084
47,6696	2,282
47,7096	2,469
47,7496	2,645
47,7896	2,809
47,8296	2,955
47,8696	3,083
47,9096	3,195
47,9496	3,285
47,9896	3,354
48,0296	3,398
48,0696	3,418
48,1096	3,413
48,1496	3,383
48,1896	3,332
48,2296	3,256
48,2696	3,157
48,3096	3,036
48,3496	2,892
48,3896	2,725
48,4296	2,538
48,4696	2,333
48,5096	2,113
48,5496	1,882
48,5896	1,641
48,6296	1,400
48,6696	1,158
48,7096	0,920
48,7496	0,696
48,7896	0,484
48,8296	0,287
48,8696	0,112
48,9096	-0,041
48,9496	-0,165
48,9896	-0,259
49,0296	-0,322
49,0696	-0,352
49,1096	-0,346
49,1496	-0,308
49,1896	-0,237
49,2296	-0,137
49,2696	-0,006
49,3096	0,151
49,3496	0,331
49,3896	0,534
49,4296	0,754
49,4696	0,988
49,5096	1,232
49,5496	1,481
49,5896	1,733
49,6296	1,981
49,6696	2,223
49,7096	2,455
49,7496	2,673
49,7896	2,878
49,8296	3,063
49,8696	3,226
49,9096	3,368
49,9496	3,482
49,9896	3,567
50,0296	3,619
50,0696	3,638
50,1096	3,625
50,1496	3,580
50,1896	3,509
50,2296	3,412
50,2696	3,291
50,3096	3,143
50,3496	2,969
50,3896	2,772
50,4296	2,559
50,4696	2,334
50,5096	2,106
50,5496	1,880
50,5896	1,659
50,6296	1,448
50,6696	1,252
50,7096	1,070
50,7496	0,900
50,7896	0,743
50,8296	0,597
50,8696	0,462
50,9096	0,342
50,9496	0,237
50,9896	0,151
51,0296	0,085
51,0696	0,039
51,1096	0,019
51,1496	0,019
51,1896	0,044
51,2296	0,093
51,2696	0,163
51,3096	0,256
51,3496	0,368
51,3896	0,501
51,4296	0,652
51,4696	0,818
51,5096	0,999
51,5496	1,191
51,5896	1,390
51,6296	1,596
51,6696	1,805
51,7096	2,014
51,7496	2,221
51,7896	2,422
51,8296	2,614
51,8696	2,796
51,9096	2,964
51,9496	3,116
51,9896	3,252
52,0296	3,363
52,0696	3,453
52,1096	3,514
52,1496	3,548
52,1896	3,553
52,2296	3,526
52,2696	3,471
52,3096	3,388
52,3496	3,278
52,3896	3,142
52,4296	2,977
52,4696	2,787
52,5096	2,573
52,5496	2,340
52,5896	2,091
52,6296	1,830
52,6696	1,561
52,7096	1,291
52,7496	1,024
52,7896	0,765
52,8296	0,520
52,8696	0,292
52,9096	0,086
52,9496	-0,093
52,9896	-0,242
53,0296	-0,358
53,0696	-0,438
53,1096	-0,484
53,1496	-0,490
53,1896	-0,459
53,2296	-0,394
53,2696	-0,294
53,3096	-0,163
53,3496	-0,005
53,3896	0,181
53,4296	0,386
53,4696	0,611
53,5096	0,848
53,5496	1,095
53,5896	1,346
53,6296	1,593
53,6696	1,836
53,7096	2,069
53,7496	2,290
53,7896	2,498
53,8296	2,686
