Posizione angolare, Oscillazioni libere
Tempo ( s )	Posizione angolare ( rad )
29,9200	3,127
29,9600	3,124
30,0000	3,121
30,0400	3,116
30,0800	3,113
30,1200	3,109
30,1600	3,104
30,2000	3,101
30,2400	3,099
30,2800	3,098
30,3200	3,098
30,3600	3,096
30,4000	3,096
30,4400	3,096
30,4800	3,098
30,5200	3,099
30,5600	3,101
30,6000	3,101
30,6400	3,102
30,6800	3,102
30,7200	3,102
30,7600	3,104
30,8000	3,104
30,8400	3,105
30,8800	3,105
30,9200	3,105
30,9600	3,105
31,0000	3,105
31,0400	3,105
31,0800	3,105
31,1200	3,105
31,1600	3,104
31,2000	3,104
31,2400	3,104
31,2800	3,104
31,3200	3,104
31,3600	3,104
31,4000	3,104
31,4400	3,104
31,4800	3,104
31,5200	3,104
31,5600	3,104
31,6000	3,104
31,6400	3,104
31,6800	3,104
31,7200	3,104
31,7600	3,104
31,8000	3,104
31,8400	3,104
31,8800	3,104
31,9200	3,104
31,9600	3,104
32,0000	3,104
32,0400	3,104
32,0800	3,104
32,1200	3,104
32,1600	3,104
32,2000	3,104
32,2400	3,104
32,2800	3,104
32,3200	3,104
32,3600	3,104
32,4000	3,104
32,4400	3,104
32,4800	3,104
32,5200	3,104
32,5600	3,104
32,6000	3,104
32,6400	3,104
32,6800	3,104
32,7200	3,104
32,7600	3,104
32,8000	3,104
32,8400	3,104
32,8800	3,104
32,9200	3,104
32,9600	3,104
33,0000	3,104
33,0400	3,104
33,0800	3,104
33,1200	3,104
33,1600	3,104
33,2000	3,104
33,2400	3,104
33,2800	3,104
33,3200	3,104
33,3600	3,104
33,4000	3,104
33,4400	3,104
33,4800	3,104
33,5200	3,104
33,5600	3,104
33,6000	3,104
33,6400	3,104
33,6800	3,104
33,7200	3,104
33,7600	3,104
33,8000	3,104
33,8400	3,104
33,8800	3,104
